,id,File name,0,1,2,3,sequence_len,focal_sequence_len,receiver_sequence_len,nb_tokens_all,nb_tokens_focal,nb_tokens_receiver,nb_tokens_both_indiv
1,1,01_Lomé.Nekketsu_23.01.23_matin_BI,"('i', 'cB')","('i', 'Ce')","('f', 'Ce')",,3,0,2,2,0,2,2
2,2,02_Lips.Pipo_25.01.23_matin_UNI,"('f', 'ct')","('f', 'cr')","('f', 'Cg')",,3,2,0,2,2,0,2
3,3,03_Bobo.Mako_26.01.23_matin_UNI,"('i', 'ca')","('i', 'cl')","('i', 'Cg')","('f', 'ct')",4,0,2,2,0,2,2
4,4,04_Angèle.Violette_26.01.23_matin_UNI,"('f', 'cK')","('f', 'ca')","('f', 'cq')","('f', 'Cg')",4,2,0,2,2,0,2
5,5,05_Bobo.Muse_30.01.23_matin_UNI,"('i', 'ca')","('i', 'cq')","('i', 'Cg')",,3,0,2,2,0,2,2
6,6,06_Bobo.Muse_30.01.23_aprem_UNI,"('i', 'ca')","('i', 'cq')","('i', 'Cg')","('f', 'ct')",4,0,2,2,0,2,2
7,7,07_Fana.Petoulette_31.01.23_matin_UNI,"('i', 'cm')","('i', 'ca')","('i', 'cq')","('i', 'Cg')",4,0,2,2,0,2,2
8,8,08_Petoulette.Pipo_01.02.23_matin.UNI,"('f', 'ca')","('f', 'cq')","('f', 'Cc')",,3,2,0,2,2,0,2
9,9,09_Nekketsu.Feya_15.03.23_aprem_UNI,"('f', 'ca')","('f', 'Cg')","('f', 'cq')",,3,2,0,2,2,0,2
10,10,10_Fana.Mali_15.03.23_aprem_UNI,"('i', 'ca')","('i', 'cl')","('i', 'Cg')",,3,0,2,2,0,2,2
