01,DATA/Merged Interactions/01_Lomé.Nekketsu_23.01.23_matin_BI,"[('f', '*')]",[],"[('p', '*')]",[],"[('p', '*')]",[],"[('p', '+')]","[('p', '+'), ('f', '+')]","[('p', '+')]","[('p', '+'), ('f', '*')]","[('p', '+')]",[],"[('p', '*')]"
02,DATA/Merged Interactions/02_Lips.Pipo_25.01.23_matin_UNI,"[('f', '*')]",[],"[('f', '*')]",[],"[('f', '*')]",[],"[('f', '+')]","[('f', '+'), ('f', '*')]","[('f', '+')]","[('f', '+'), ('f', '*')]","[('f', '+')]"
03,DATA/Merged Interactions/03_Bobo.Mako_26.01.23_matin_UNI,"[('f', '*')]",[],"[('p', '*')]","[('p', '*'), ('p', '*')]","[('p', '*')]",[],"[('p', '*')]",[],"[('p', '+')]","[('p', '+'), ('f', '*')]","[('p', '+')]",[],"[('p', '*')]",[],"[('f', '*')]"
04,DATA/Merged Interactions/04_Angèle.Violette_26.01.23_matin_UNI,"[('f', '*')]",[],"[('f', '*')]",[],"[('f', '*')]",[],"[('f', '+')]",[],"[('p', '*')]",[],"[('f', '+')]",[],"[('p', '*')]",[],"[('f', '*')]"
05,DATA/Merged Interactions/05_Bobo.Muse_30.01.23_matin_UNI,"[('p', '*')]",[],"[('p', '*')]","[('p', '*'), ('f', '*')]","[('p', '*')]",[],"[('p', '+')]",[],"[('p', '+')]",[],"[('p', '*')]",[],"[('f', '*')]"
06,DATA/Merged Interactions/06_Bobo.Muse_30.01.23_aprem_UNI,"[('f', '*')]",[],"[('p', '*')]",[],"[('p', '*')]",[],"[('p', '+')]",[],"[('p', '+')]","[('p', '+'), ('f', '*')]","[('p', '+')]",[],"[('p', '*')]",[],"[('f', '*')]"
07,DATA/Merged Interactions/07_Fana.Petoulette_31.01.23_matin_UNI,"[('p', '*')]",[],"[('p', '*')]","[('p', '*'), ('p', '*')]","[('p', '*')]",[],"[('p', '+')]",[],"[('p', '+')]",[],"[('p', '*')]",[],"[('f', '*')]"
08,DATA/Merged Interactions/08_Petoulette.Pipo_01.02.23_matin.UNI,"[('f', '*')]",[],"[('f', '*')]",[],"[('f', '+')]",[],"[('f', '+')]","[('f', '+'), ('p', '*')]","[('f', '+')]","[('f', '+'), ('p', '*')]","[('f', '+')]",[],"[('f', '*')]",[],"[('p', '*')]"
09,DATA/Merged Interactions/09_Nekketsu.Feya_15.03.23_aprem_UNI,"[('p', '*')]",[],"[('f', '*')]",[],"[('f', '*')]","[('f', '*'), ('f', '+')]","[('f', '*'), ('f', '+'), ('f', '+')]","[('f', '*'), ('f', '+')]","[('f', '+')]",[],"[('p', '*')]",[],"[('f', '*')]"
10,DATA/Merged Interactions/10_Fana.Mali_15.03.23_aprem_UNI,"[('f', '*')]",[],"[('p', '*')]",[],"[('p', '*')]",[],"[('p', '*')]",[],"[('p', '+')]","[('p', '+'), ('f', '*')]","[('p', '+')]",[],"[('f', '*')]",[],"[('p', '*')]"
